School Year,County,District,School Name,BEDS Code,Grade Organization,Need/Resource Category,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon PossessionThrough Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive
2011-2012,BRONX,New York City Geographic District #12,PS 211 ,321200010211,Elementary,New York City,Public,675,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,22,1,11,0,0,0,1,0,0,0,0,0,0,0,2,0,0,7
2011-2012,BRONX,New York City Geographic District #12,PS 212,321200010212,Elementary,New York City,Public,428,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2011-2012,BRONX,New York City Geographic District #12,PS 214,321200010214,Elementary,New York City,Public,974,0,0,0,0,0,6,0,0,0,0,0,0,0,2,6,0,3,3,11,5,6,0,0,0,1,0,0,0,1,0,0,0,3,1,1,7
2011-2012,BRONX,New York City Geographic District #12,PS 44 DAVID C FARRAGUT,321200010044,Elementary,New York City,Public,326,0,0,0,0,0,3,0,0,0,3,1,0,0,1,8,0,4,7,19,7,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,4
2011-2012,BRONX,New York City Geographic District #12,PS 47 JOHN RANDOLPH,321200010047,Elementary,New York City,Public,1078,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-2012,BRONX,New York City Geographic District #12,PS 50 CLARA BARTON,321200010050,Elementary,New York City,Public,502,0,0,0,0,0,6,0,0,0,0,2,0,0,1,14,0,1,1,11,9,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2011-2012,BRONX,New York City Geographic District #12,PS 536,321200010536,Elementary,New York City,Public,222,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2011-2012,BRONX,New York City Geographic District #12,PS 57 CRESCENT,321200010057,Elementary,New York City,Public,498,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
2011-2012,BRONX,New York City Geographic District #12,PS 6 WEST FARMS,321200010006,Elementary,New York City,Public,731,0,0,0,0,0,4,0,0,0,0,0,0,0,1,2,0,0,1,9,1,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2
2011-2012,BRONX,New York City Geographic District #12,PS 61 FRANCISCO OLLER,321200010061,Elementary,New York City,Public,389,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BRONX,New York City Geographic District #12,PS 66 SCHOOL OF HIGHER EXPECTATIONS,321200010066,Elementary,New York City,Public,638,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3
2011-2012,BRONX,New York City Geographic District #12,PS 67 MOHEGAN SCHOOL,321200010067,Elementary,New York City,Public,724,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,2,19,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
2011-2012,BRONX,New York City Geographic District #12,PS 92,321200010092,Elementary,New York City,Public,538,0,0,0,0,0,6,0,0,0,1,0,0,0,1,4,1,4,2,22,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
2011-2012,BRONX,New York City Geographic District #12,SCHOOL OF PERFORMING ARTS,321200010217,Middle School,New York City,Public,325,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,1,28,3,18,0,0,0,1,0,3,0,1,0,0,0,0,1,1,25
2011-2012,BRONX,New York City Geographic District #12,SCHOOL OF SCIENCE AND APPLIED LEARNING,321200010300,Elementary,New York City,Public,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-2012,BRONX,New York City Geographic District #12,URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,321200010372,Junior Senior School,New York City,Public,396,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
2011-2012,BRONX,New York City Geographic District #12,URBAN SCHOLARS COMMUNITY SCHOOL,321200010463,Elementary,New York City,Public,271,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BRONX,New York City Geographic District #12,WINGS ACADEMY,321200011684,Senior High,New York City,Public,532,0,0,0,0,0,2,0,0,0,1,0,0,0,1,5,0,0,0,38,0,29,0,0,0,1,0,2,0,0,0,0,2,5,1,0,43
2011-2012,BROOKLYN,New York City Geographic District #13,ACORN COMMUNITY HIGH SCHOOL,331300011499,Senior High,New York City,Public,731,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,5,1,8,0,0,0,2,0,1,0,0,0,0,3,2,0,0,4
2011-2012,BROOKLYN,New York City Geographic District #13,BEDFORD ACADEMY HIGH SCHOOL,331300011595,Senior High,New York City,Public,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9
2011-2012,BROOKLYN,New York City Geographic District #13,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,331300011575,Senior High,New York City,Public,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
2011-2012,BROOKLYN,New York City Geographic District #13,BENJAMIN BANNEKER ACADEMY ,331300011670,Senior High,New York City,Public,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #13,BROOKLYN ACADEMY HIGH SCHOOL,331300011553,Senior High,New York City,Public,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011-2012,BROOKLYN,New York City Geographic District #13,"BROOKLYN COMMUNITY HIGH SCH-COMMUNICATION, ARTS & MEDIA",331300011412,Senior High,New York City,Public,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,6,0,0,0,0,0,4,0,0,0,0,0,0,1,2,6
2011-2012,BROOKLYN,New York City Geographic District #13,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY,331300011616,Senior High,New York City,Public,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
2011-2012,BROOKLYN,New York City Geographic District #13,BROOKLYN INTERNATIONAL HIGH SCHOOL AT WATERS EDGE,331300011439,Senior High,New York City,Public,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #13,BROOKLYN TECHNICAL HIGH SCHOOL,331300011430,Senior High,New York City,Public,5323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,5,0,0,0,9,0,4,0,0,0,0,0,3,10,4,5
2011-2012,BROOKLYN,New York City Geographic District #13,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE AND TECHNOLOGY",331300011674,Senior High,New York City,Public,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,23,2,15,0,0,0,2,0,2,0,0,0,0,1,0,0,0,51
2011-2012,BROOKLYN,New York City Geographic District #13,DR SUSAN S MCKINNEY SECONDARY SCHOOL OF THE ARTS,331300010265,Junior Senior School,New York City,Public,446,0,0,0,0,0,4,0,0,0,1,0,0,0,1,2,1,2,0,32,0,10,0,0,0,0,0,1,0,0,0,0,0,1,2,0,6
2011-2012,BROOKLYN,New York City Geographic District #13,FORT GREEN PREPARATORY ACADEMY,331300010691,Junior High School,New York City,Public,182,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,22,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,13
2011-2012,BROOKLYN,New York City Geographic District #13,FREEDOM ACADEMY HIGH SCHOOL,331300011509,Senior High,New York City,Public,218,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0
2011-2012,BROOKLYN,New York City Geographic District #13,GEORGE WESTINGHOUSE CAREER & TECHNICAL ED HIGH SCHOOL,331300011605,Senior High,New York City,Public,919,0,0,0,0,0,4,0,2,0,3,2,0,0,0,7,0,1,0,15,0,12,0,0,0,4,0,2,0,0,0,0,11,3,2,0,31
2011-2012,BROOKLYN,New York City Geographic District #13,MS 113 RONALD EDMONDS LEARNING CENTER,331300010113,Middle School,New York City,Public,894,0,0,0,0,0,1,0,0,0,0,4,0,0,0,4,0,0,0,10,1,12,0,0,0,0,0,4,0,1,0,0,0,1,2,0,0
2011-2012,BROOKLYN,New York City Geographic District #13,MS 266 PARK PLACE COMMUNITY MIDDLE SCHOOL,331300010266,Middle School,New York City,Public,189,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,8
2011-2012,BROOKLYN,New York City Geographic District #13,MS 596 PEACE ACADEMY,331300010596,Middle School,New York City,Public,154,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,1,4,6,40,11,24,0,0,0,0,0,1,0,0,0,0,0,2,0,1,14
2011-2012,BROOKLYN,New York City Geographic District #13,PS 11 PURVIS J BEHAN,331300010011,Elementary,New York City,Public,640,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #13,PS 133 WILLIAM A BUTLER,331300010133,Elementary,New York City,Public,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #13,PS 20 CLINTON HILL,331300010020,Elementary,New York City,Public,325,0,0,0,0,0,1,0,0,2,0,0,0,0,0,5,0,0,1,9,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
2011-2012,BROOKLYN,New York City Geographic District #13,PS 256 BENJAMIN BANNEKER,331300010256,Elementary,New York City,Public,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #13,PS 270 JOHANN DEKALB,331300010270,Elementary,New York City,Public,204,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #13,PS 282 PARK SLOPE,331300010282,Elementary,New York City,Public,1033,0,0,0,0,0,4,0,1,0,3,0,0,0,0,5,0,4,0,28,5,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5
2011-2012,BROOKLYN,New York City Geographic District #13,PS 287 BAILEY K ASHFORD,331300010287,Elementary,New York City,Public,217,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
2011-2012,BROOKLYN,New York City Geographic District #13,PS 3 THE BEDFORD VILLAGE,331300010003,Elementary,New York City,Public,617,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
2011-2012,BROOKLYN,New York City Geographic District #13,PS 305 DR PETER RAY,331300010305,Elementary,New York City,Public,308,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,6,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2011-2012,BROOKLYN,New York City Geographic District #13,PS 307 DANIEL HALE WILLIAMS,331300010307,Elementary,New York City,Public,315,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
2011-2012,BROOKLYN,New York City Geographic District #13,PS 44 MARCUS GARVEY,331300010044,Elementary,New York City,Public,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
2011-2012,BROOKLYN,New York City Geographic District #13,PS 46 EDWARD C BLUM,331300010046,Elementary,New York City,Public,381,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,10,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2
2011-2012,BROOKLYN,New York City Geographic District #13,PS 54 SAMUEL C BARNES,331300010054,Elementary,New York City,Public,279,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2011-2012,BROOKLYN,New York City Geographic District #13,PS 56 LEWIS H LATIMER,331300010056,Elementary,New York City,Public,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011-2012,BROOKLYN,New York City Geographic District #13,PS 67 CHARLES A DORSEY,331300010067,Elementary,New York City,Public,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #13,PS 8 ROBERT FULTON,331300010008,Elementary,New York City,Public,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #13,PS 9 TEUNIS G BERGEN,331300010009,Elementary,New York City,Public,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #13,PS 93 WILLIAM H PRESCOTT,331300010093,Elementary,New York City,Public,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #13,SATELLITE EAST MIDDLE SCHOOL,331300010301,Middle School,New York City,Public,220,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0
2011-2012,BROOKLYN,New York City Geographic District #13,SATELLITE THREE,331300010103,Middle School,New York City,Public,265,0,0,0,0,0,1,0,1,0,1,0,0,0,0,7,0,0,0,14,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2
2011-2012,BROOKLYN,New York City Geographic District #13,SATELLITE WEST MIDDLE SCHOOL,331300010313,Middle School,New York City,Public,133,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,20,0,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,14
2011-2012,BROOKLYN,New York City Geographic District #13,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCI, TECH AND CREATIVE ARTS",331300011419,Senior High,New York City,Public,507,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,15,0,10,0,0,0,3,0,3,0,0,0,0,1,0,0,1,53
2011-2012,BROOKLYN,New York City Geographic District #13,URBAN ASSEMBLY ACADEMY OF ARTS AND LETTERS,331300011492,Elementary,New York City,Public,424,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
2011-2012,BROOKLYN,New York City Geographic District #13,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,331300011527,Junior Senior School,New York City,Public,469,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,12,0,8,0,0,0,0,0,5,0,0,0,0,2,0,2,1,8
2011-2012,BROOKLYN,New York City Geographic District #13,URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,331300011483,Senior High,New York City,Public,449,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
2011-2012,BROOKLYN,New York City Geographic District #13,URBAN ASSEMBLY SCHOOL OF MUSIC AND ART AT WATERS EDGE (THE),331300011350,Senior High,New York City,Public,431,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,15,0,10,0,0,0,0,0,2,0,0,0,0,5,2,5,0,20
2011-2012,BROOKLYN,New York City Geographic District #14,AUTOMOTIVE HIGH SCHOOL,331400011610,Senior High,New York City,Public,737,0,0,0,0,0,2,0,0,0,1,1,0,0,0,13,0,2,0,48,1,25,0,0,0,4,0,3,0,1,0,0,7,5,10,0,153
2011-2012,BROOKLYN,New York City Geographic District #14,BROOKLYN LATIN SCHOOL (THE),331400011449,Senior High,New York City,Public,468,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #14,BROOKLYN PREPARATORY HIGH SCHOOL,331400011488,Senior High,New York City,Public,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,1,11,0,0,0,1,0,2,0,0,0,0,0,1,1,0,36
2011-2012,BROOKLYN,New York City Geographic District #14,CONSELYEA PREPARATORY SCHOOL,331400010577,Middle School,New York City,Public,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
2011-2012,BROOKLYN,New York City Geographic District #14,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,331400011685,Senior High,New York City,Public,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,0,0,0,2,0,0,0,0,0,0,0,1,2,0,2
2011-2012,BROOKLYN,New York City Geographic District #14,FOUNDATIONS ACADEMY,331400011322,Senior High,New York City,Public,138,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #14,FRANCES PERKINS ACADEMY,331400011632,Senior High,New York City,Public,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2011-2012,BROOKLYN,New York City Geographic District #14,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,331400011454,Senior High,New York City,Public,390,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,16,1,10,0,0,0,4,0,0,0,0,0,0,0,4,2,2,34
2011-2012,BROOKLYN,New York City Geographic District #14,"HIGH SCHOOL OF ENTERPRISE, BUSINESS & TECHNOLOGY",331400011478,Senior High,New York City,Public,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,6,0,0,0,1,0,0,0,0,0,0,3,1,1,0,10
2011-2012,BROOKLYN,New York City Geographic District #14,IS 318 EUGENO MARIA DE HOSTOS,331400010318,Middle School,New York City,Public,1647,0,0,0,0,0,4,0,0,0,2,0,0,0,1,2,0,4,0,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2011-2012,BROOKLYN,New York City Geographic District #14,JHS 50 JOHN D WELLS ,331400010050,Middle School,New York City,Public,413,0,0,0,0,0,0,0,0,0,1,2,0,0,3,14,1,3,3,7,2,12,0,0,0,1,0,1,0,3,0,0,0,1,0,0,13
2011-2012,BROOKLYN,New York City Geographic District #14,JOHN ERICSSON MIDDLE SCHOOL 126,331400010126,Middle School,New York City,Public,319,0,0,0,0,0,6,0,0,0,0,2,0,0,1,6,0,0,5,15,5,11,0,0,0,1,0,1,0,1,0,0,0,3,0,0,12
2011-2012,BROOKLYN,New York City Geographic District #14,JUAN MOREL CAMPOS SECONDARY SCHOOL,331400011071,Junior Senior School,New York City,Public,864,0,0,0,0,0,5,0,3,0,0,0,0,0,0,5,0,2,2,60,2,20,0,0,0,7,0,4,0,0,0,0,0,5,2,2,77
2011-2012,BROOKLYN,New York City Geographic District #14,LYONS COMMUNITY SCHOOL,331400011586,Junior Senior School,New York City,Public,527,0,0,0,0,0,1,0,2,0,0,1,0,0,0,3,0,0,0,11,0,7,0,0,0,1,0,2,0,0,0,0,0,1,3,0,6
2011-2012,BROOKLYN,New York City Geographic District #14,MS 582,331400010582,Middle School,New York City,Public,313,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,11,0,4,0,0,0,3,0,0,0,0,0,0,0,4,1,2,10
2011-2012,BROOKLYN,New York City Geographic District #14,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,331400011474,Senior High,New York City,Public,1067,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,16,1,7,0,0,0,1,0,2,0,0,0,0,1,2,1,0,14
2011-2012,BROOKLYN,New York City Geographic District #14,PS 110 THE MONITOR,331400010110,Elementary,New York City,Public,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #14,PS 120 CARLOS TAPIA,331400010120,Elementary,New York City,Public,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #14,PS 132 THE CONSELYEA SCHOOL,331400010132,Elementary,New York City,Public,799,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #14,PS 147 ISSAC REMSEN,331400010147,Elementary,New York City,Public,227,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2011-2012,BROOKLYN,New York City Geographic District #14,PS 157 BENJAMIN FRANKLIN,331400010157,Elementary,New York City,Public,422,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #14,PS 16 LEONARD DUNKLY,331400010016,Elementary,New York City,Public,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,8,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,8
2011-2012,BROOKLYN,New York City Geographic District #14,PS 17 HENRY D WOODWORTH,331400010017,Elementary,New York City,Public,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #14,PS 18 EDWARD BUSH,331400010018,Elementary,New York City,Public,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #14,PS 19 ROBERTO CLEMENTE,331400010019,Elementary,New York City,Public,353,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,3,2,3,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
2011-2012,BROOKLYN,New York City Geographic District #14,PS 196 TEN EYCK,331400010196,Elementary,New York City,Public,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #14,PS 23 CARTER G WOODSON,331400010023,Elementary,New York City,Public,296,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3
2011-2012,BROOKLYN,New York City Geographic District #14,PS 250 GEORGE H LINDSEY,331400010250,Elementary,New York City,Public,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #14,PS 257 JOHN F HYLAN,331400010257,Elementary,New York City,Public,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #14,PS 297 ABRAHAM STOCKTON,331400010297,Elementary,New York City,Public,341,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2011-2012,BROOKLYN,New York City Geographic District #14,PS 31 SAMUEL F DUPONT,331400010031,Elementary,New York City,Public,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #14,PS 319,331400010319,Elementary,New York City,Public,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #14,PS 34 OLIVER H PERRY,331400010034,Elementary,New York City,Public,525,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #14,PS 380 JOHN WAYNE ELEMENTARY,331400010380,Elementary,New York City,Public,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #14,PS 59 WILLIAM FLOYD,331400010059,Elementary,New York City,Public,418,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BROOKLYN,New York City Geographic District #14,PS 84 JOSE DE DIEGO,331400010084,Elementary,New York City,Public,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
