School Year,County,District,School Name,BEDS Code,Grade Organization,Need/Resource Category,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon PossessionThrough Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive
2011-2012,BRONX,New York City Geographic District # 9,PS 73 BRONX,320900010073,Elementary,New York City,Public,858,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,7
2011-2012,BRONX,New York City Geographic District # 9,PS 88 S SILVERSTEIN LITTLE SPARROW SCHOOL,320900010088,Elementary,New York City,Public,221,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2011-2012,BRONX,New York City Geographic District # 9,PS/IS 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,320900010218,Elementary,New York City,Public,864,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011-2012,BRONX,New York City Geographic District # 9,PS/MS 4 CROTONA PARK WEST,320900010004,Elementary,New York City,Public,395,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,1,15,2,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,4
2011-2012,BRONX,New York City Geographic District # 9,SCHOOL FOR EXCELLENCE ,320900011404,Senior High,New York City,Public,386,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6
2011-2012,BRONX,New York City Geographic District # 9,SCIENCE AND TECHNOLOGY ACADEMY:  A MOTT HALL SCHOOL,320900010454,Middle School,New York City,Public,384,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2011-2012,BRONX,New York City Geographic District # 9,SHERIDAN ACADEMY FOR YOUNG LEADERS,320900010457,Elementary,New York City,Public,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-2012,BRONX,New York City Geographic District # 9,URBAN ASSEMBLY ACAD-HISTORY AND CITIZENSHIP FOR YOUNG MEN,320900011239,Senior High,New York City,Public,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2011-2012,BRONX,New York City Geographic District # 9,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE,320900011241,Junior Senior School,New York City,Public,606,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2011-2012,BRONX,New York City Geographic District # 9,URBAN SCIENCE ACADEMY ,320900010325,Middle School,New York City,Public,445,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,21,1,7,0,0,0,1,0,0,0,0,0,0,0,4,0,0,18
2011-2012,BRONX,New York City Geographic District # 9,VALIDUS PREPARATORY ACADEMY,320900011263,Senior High,New York City,Public,366,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,6,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3
2011-2012,BRONX,New York City Geographic District #10,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,321000010363,Middle School,New York City,Public,295,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,13,1,9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,9
2011-2012,BRONX,New York City Geographic District #10,AMPARK NEIGHBORHOOD,321000010344,Elementary,New York City,Public,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BRONX,New York City Geographic District #10,ANGELO PATRI MIDDLE SCHOOL (THE),321000010391,Middle School,New York City,Public,623,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,1,9,0,2,0,0,0,2,0,0,0,0,0,0,0,3,1,0,3
2011-2012,BRONX,New York City Geographic District #10,BELMONT PREPARATORY HIGH SCHOOL,321000011434,Senior High,New York City,Public,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,4,0,0,0,2,0,0,0,0,0,0,5,2,1,1,16
